,Countries,Total Cases,Todays Cases,Total Deaths
117,Georgia,306,,3
118,Montenegro,288,,4
119,Vietnam,268,,
120,Isle of Man,256,,4
121,DRC,254,,21
122,Sri Lanka,238,,7
123,Kenya,225,,10
124,Mayotte,217,,3
125,Venezuela,197,,9
126,Guatemala,196,+16,5
127,Faeroe Islands,184,,
128,Paraguay,174,+13,8
129,El Salvador,159,,6
130,Martinique,158,,8
131,Mali,148,,13
132,Guadeloupe,145,,8
133,Brunei ,136,,1
134,Rwanda,136,,
135,Gibraltar,131,,
136,Jamaica,125,,5
137,Cambodia,122,,
138,Congo,117,,5
139,Trinidad and Tobago,114,,8
140,Madagascar,110,,
141,Monaco,93,,3
142,Aruba,93,,1
143,Tanzania,88,,4
144,French Guiana,86,,
145,Myanmar,85,+11,4
146,Ethiopia,85,,3
147,Bermuda,81,,5
148,Togo,81,,3
149,Somalia,80,,5
150,Gabon,80,,1
151,Liechtenstein,79,,1
152,Barbados,75,+2,5
153,Cayman Islands,60,,1
154,Liberia,59,,6
155,Cabo Verde,56,,1
156,Guyana,55,,6
157,French Polynesia,55,,
158,Uganda,55,,
159,Sint Maarten,53,,9
160,Bahamas,53,,8
161,Equatorial Guinea,51,,
162,Zambia,48,,2
163,Libya,48,,1
164,Macao,45,,
165,Guinea-Bissau,43,,
166,Haiti,41,,3
167,Saint Martin,35,,2
168,Benin,35,,1
169,Eritrea,35,,
170,Syria,33,,2
171,Sudan,32,,5
172,Mongolia,31,+1,
173,Mozambique,29,,
174,Antigua and Barbuda,23,,3
175,Zimbabwe,23,,3
176,Chad,23,,
177,Maldives,23,+1,
178,Angola,19,,2
179,Laos,19,,
180,Belize,18,,2
181,New Caledonia,18,,
182,Fiji,17,+1,
183,Malawi,16,,2
184,Nepal,16,,
185,Dominica,16,,
186,Namibia,16,,
187,Saint Lucia,15,,
188,Eswatini,15,,
189,Curaçao,14,,1
190,Grenada,14,,
191,Saint Kitts and Nevis,14,,
192,Botswana,13,,1
193,Sierra Leone,13,,
194,CAR,12,,
195,St. Vincent Grenadines,12,,
196,Falkland Islands,11,,
197,Greenland,11,,
198,Montserrat,11,,
199,Seychelles,11,,
200,Suriname,10,,1
201,Turks and Caicos,10,,1
202,MS Zaandam,9,,2
203,Gambia,9,,1
204,Nicaragua,9,,1
205,Vatican City,8,,
206,Timor-Leste,8,,
207,Mauritania,7,,1
208,St. Barth,6,,
209,Western Sahara,6,,
210,Burundi,5,,1
211,Bhutan,5,,
212,Sao Tome and Principe,4,,
213,South Sudan,4,,
214,Anguilla,3,,
215,British Virgin Islands,3,,
216,Caribbean Netherlands,3,,
217,Papua New Guinea,2,,
218,Saint Pierre Miquelon,1,,
219,Yemen,1,,
220,China,"82,341",+46,"3,342"
